latitude,longitude,tests
35.6924969 , 10.0931431,2
35.6956033 , 9.7232673,1
35.6981139 , 10.7890469,1
35.7000178 , 10.1015869,1
35.711072 , 10.6718934,1
35.7159763 , 10.718241,1
35.7197383 , 10.5733939,1
35.7381921 , 10.5808787,1
35.7384066 , 10.5803373,1
35.7385788 , 10.7069688,1
35.7459936 , 10.7156332,1
35.7503665 , 10.7122609,1
35.7511599 , 10.7119416,2
35.7512543 , 10.7116463,2
35.7539688 , 10.6252859,1
35.75400574986497 , 10.82742486931152,1
35.755353 , 10.7178926,1
35.755643306898385 , 10.714808598441222,1
35.7587814 , 9.4479247,2
35.760732 , 10.7533046,1
35.7629952 , 10.8331008,1
35.7638201 , 10.7621282,1
35.7642515 , 10.8112885,2
35.7644338 , 10.8261349,1
35.7645481 , 10.8303323,1
35.765568515038716 , 10.63458154550783,1
35.7676374 , 10.6289812,1
35.768103045761805 , 10.821265625752247,1
35.7754375 , 10.8292344,1
35.7783602 , 10.7901588,1
35.7821457 , 10.668544,1
35.7972966 , 10.5014909,1
35.79857479518406 , 10.643779541939919,1
35.79904 , 10.6528768,1
35.799961 , 10.5124867,1
35.8032646 , 10.6047484,1
35.8050101 , 10.6358238,2
35.8067455 , 10.5911046,2
35.807027715584866 , 10.615382826736107,1
35.80803347727657 , 10.631748622071132,1
35.8094 , 10.6032,1
35.809413 , 10.6094402,1
35.8104094 , 10.6353631,1
35.8113699 , 10.6168401,1
35.8153742 , 10.613618,1
35.81616945263479 , 10.640795495117178,1
35.8164597 , 10.6338901,1
35.816515 , 10.6338726,1
35.8198181 , 10.636261,1
35.8217563 , 10.5605541,1
35.8245029 , 10.634584,5
35.82451080000001 , 10.6348774,3
35.8251 , 10.6446,1
35.82932447086621 , 10.631759752374293,1
35.830721737134574 , 10.628152993131165,1
35.8313764 , 10.5950773,1
35.831515 , 10.604547,1
35.8317502 , 10.6299325,1
35.8319664 , 10.5866072,1
35.8329244 , 10.6207608,1
